"block","family","tau","fit_size","prior_semantics","model","inference","method","root_id","target_root_id","original_scenario_key","target_original_scenario_key","original_case_key","target_original_case_key","selected_source_type","selected_source_subtype","selected_candidate","selected_variant_tag","selected_fit_path","selected_fit_exists_now","baseline_fit_path","baseline_fit_exists_now","evidence_bucket","bucket_reason","legacy_freeze_required","rebuild_required","target_prior_semantics","rebuild_scope","audit_date"
"static_shrink","laplace","0p05",100,"rhs","al","vb","vb::al","root__static_shrink__laplace__tau_0p05__tt_100__rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs_ns","static_shrink::laplace::0p05::100::rhs","static_shrink::laplace::0p05::100::rhs_ns","static_shrink::laplace::0p05::100::rhs::al::vb","static_shrink::laplace::0p05::100::rhs_ns::al::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p05_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p05",1000,"rhs","al","vb","vb::al","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs_ns","static_shrink::laplace::0p05::1000::rhs","static_shrink::laplace::0p05::1000::rhs_ns","static_shrink::laplace::0p05::1000::rhs::al::vb","static_shrink::laplace::0p05::1000::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p25",100,"rhs","al","vb","vb::al","root__static_shrink__laplace__tau_0p25__tt_100__rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs_ns","static_shrink::laplace::0p25::100::rhs","static_shrink::laplace::0p25::100::rhs_ns","static_shrink::laplace::0p25::100::rhs::al::vb","static_shrink::laplace::0p25::100::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p25",1000,"rhs","al","vb","vb::al","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs_ns","static_shrink::laplace::0p25::1000::rhs","static_shrink::laplace::0p25::1000::rhs_ns","static_shrink::laplace::0p25::1000::rhs::al::vb","static_shrink::laplace::0p25::1000::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p95",100,"rhs","al","vb","vb::al","root__static_shrink__laplace__tau_0p95__tt_100__rhs","root__static_shrink__laplace__tau_0p95__tt_100__rhs_ns","static_shrink::laplace::0p95::100::rhs","static_shrink::laplace::0p95::100::rhs_ns","static_shrink::laplace::0p95::100::rhs::al::vb","static_shrink::laplace::0p95::100::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p95",1000,"rhs","al","vb","vb::al","root__static_shrink__laplace__tau_0p95__tt_1000__rhs","root__static_shrink__laplace__tau_0p95__tt_1000__rhs_ns","static_shrink::laplace::0p95::1000::rhs","static_shrink::laplace::0p95::1000::rhs_ns","static_shrink::laplace::0p95::1000::rhs::al::vb","static_shrink::laplace::0p95::1000::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","normal","0p05",100,"rhs","al","vb","vb::al","root__static_shrink__normal__tau_0p05__tt_100__rhs","root__static_shrink__normal__tau_0p05__tt_100__rhs_ns","static_shrink::normal::0p05::100::rhs","static_shrink::normal::0p05::100::rhs_ns","static_shrink::normal::0p05::100::rhs::al::vb","static_shrink::normal::0p05::100::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","normal","0p05",1000,"rhs","al","vb","vb::al","root__static_shrink__normal__tau_0p05__tt_1000__rhs","root__static_shrink__normal__tau_0p05__tt_1000__rhs_ns","static_shrink::normal::0p05::1000::rhs","static_shrink::normal::0p05::1000::rhs_ns","static_shrink::normal::0p05::1000::rhs::al::vb","static_shrink::normal::0p05::1000::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p05_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","normal","0p25",100,"rhs","al","vb","vb::al","root__static_shrink__normal__tau_0p25__tt_100__rhs","root__static_shrink__normal__tau_0p25__tt_100__rhs_ns","static_shrink::normal::0p25::100::rhs","static_shrink::normal::0p25::100::rhs_ns","static_shrink::normal::0p25::100::rhs::al::vb","static_shrink::normal::0p25::100::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","normal","0p25",1000,"rhs","al","vb","vb::al","root__static_shrink__normal__tau_0p25__tt_1000__rhs","root__static_shrink__normal__tau_0p25__tt_1000__rhs_ns","static_shrink::normal::0p25::1000::rhs","static_shrink::normal::0p25::1000::rhs_ns","static_shrink::normal::0p25::1000::rhs::al::vb","static_shrink::normal::0p25::1000::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p25_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","normal","0p95",100,"rhs","al","vb","vb::al","root__static_shrink__normal__tau_0p95__tt_100__rhs","root__static_shrink__normal__tau_0p95__tt_100__rhs_ns","static_shrink::normal::0p95::100::rhs","static_shrink::normal::0p95::100::rhs_ns","static_shrink::normal::0p95::100::rhs::al::vb","static_shrink::normal::0p95::100::rhs_ns::al::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p95_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","normal","0p95",1000,"rhs","al","vb","vb::al","root__static_shrink__normal__tau_0p95__tt_1000__rhs","root__static_shrink__normal__tau_0p95__tt_1000__rhs_ns","static_shrink::normal::0p95::1000::rhs","static_shrink::normal::0p95::1000::rhs_ns","static_shrink::normal::0p95::1000::rhs::al::vb","static_shrink::normal::0p95::1000::rhs_ns::al::vb","baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_al_tau_0p95_fit.rds",FALSE,"baseline_ambiguous","selected baseline artifact lives under validation_shrink_rhs with no explicit rhs_ns marker",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","gausmix","0p05",100,"rhs","exal","vb","vb::exal","root__static_shrink__gausmix__tau_0p05__tt_100__rhs","root__static_shrink__gausmix__tau_0p05__tt_100__rhs_ns","static_shrink::gausmix::0p05::100::rhs","static_shrink::gausmix::0p05::100::rhs_ns","static_shrink::gausmix::0p05::100::rhs::exal::vb","static_shrink::gausmix::0p05::100::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p05_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p05_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","gausmix","0p05",1000,"rhs","exal","vb","vb::exal","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs_ns","static_shrink::gausmix::0p05::1000::rhs","static_shrink::gausmix::0p05::1000::rhs_ns","static_shrink::gausmix::0p05::1000::rhs::exal::vb","static_shrink::gausmix::0p05::1000::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p05_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p05_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","gausmix","0p25",100,"rhs","exal","vb","vb::exal","root__static_shrink__gausmix__tau_0p25__tt_100__rhs","root__static_shrink__gausmix__tau_0p25__tt_100__rhs_ns","static_shrink::gausmix::0p25::100::rhs","static_shrink::gausmix::0p25::100::rhs_ns","static_shrink::gausmix::0p25::100::rhs::exal::vb","static_shrink::gausmix::0p25::100::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p25_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p25_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","gausmix","0p25",1000,"rhs","exal","vb","vb::exal","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs_ns","static_shrink::gausmix::0p25::1000::rhs","static_shrink::gausmix::0p25::1000::rhs_ns","static_shrink::gausmix::0p25::1000::rhs::exal::vb","static_shrink::gausmix::0p25::1000::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p25_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p25_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","gausmix","0p95",100,"rhs","exal","vb","vb::exal","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs_ns","static_shrink::gausmix::0p95::100::rhs","static_shrink::gausmix::0p95::100::rhs_ns","static_shrink::gausmix::0p95::100::rhs::exal::vb","static_shrink::gausmix::0p95::100::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p95_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p95_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","gausmix","0p95",1000,"rhs","exal","vb","vb::exal","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs_ns","static_shrink::gausmix::0p95::1000::rhs","static_shrink::gausmix::0p95::1000::rhs_ns","static_shrink::gausmix::0p95::1000::rhs::exal::vb","static_shrink::gausmix::0p95::1000::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p95_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p95_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p05",100,"rhs","exal","vb","vb::exal","root__static_shrink__laplace__tau_0p05__tt_100__rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs_ns","static_shrink::laplace::0p05::100::rhs","static_shrink::laplace::0p05::100::rhs_ns","static_shrink::laplace::0p05::100::rhs::exal::vb","static_shrink::laplace::0p05::100::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p05_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p05_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p05",1000,"rhs","exal","vb","vb::exal","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs_ns","static_shrink::laplace::0p05::1000::rhs","static_shrink::laplace::0p05::1000::rhs_ns","static_shrink::laplace::0p05::1000::rhs::exal::vb","static_shrink::laplace::0p05::1000::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p05_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p05_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p25",100,"rhs","exal","vb","vb::exal","root__static_shrink__laplace__tau_0p25__tt_100__rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs_ns","static_shrink::laplace::0p25::100::rhs","static_shrink::laplace::0p25::100::rhs_ns","static_shrink::laplace::0p25::100::rhs::exal::vb","static_shrink::laplace::0p25::100::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p25_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/vb/vb_exal_tau_0p25_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
"static_shrink","laplace","0p25",1000,"rhs","exal","vb","vb::exal","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs_ns","static_shrink::laplace::0p25::1000::rhs","static_shrink::laplace::0p25::1000::rhs_ns","static_shrink::laplace::0p25::1000::rhs::exal::vb","static_shrink::laplace::0p25::1000::rhs_ns::exal::vb","static_refresh_compact","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p25_fit_rhsns_impl_refresh_20260329.rds",FALSE,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/vb/vb_exal_tau_0p25_fit.rds",FALSE,"rhsns_explicit","selected artifact explicitly names rhsns; keep as historical evidence only because the accepted branch label is mixed",TRUE,TRUE,"rhs_ns","static_shrink_rhsns_full_rebuild","2026-04-09"
